ID,Bucket,Criterion,What pass requires,Notes,Conditional
P9,P — Pedagogy,Timing is realistic,"The work assigned in each phase is plausibly completable in the allotted minutes by students at this grade level. Count the tasks in each phase and estimate minutes per task. Pass = every phase's workload fits its time. Fail = any phase assigns clearly more work than its time allows (e.g., 12 problems in a 20-minute block that also includes discussion).",,
R1,R — Rigor,Grade-level demand is maintained,"No scaffolding in the lesson reduces the cognitive demand below the standard's level. Supports provide access without simplifying the task. Pass = all student work targets the standard's complexity. Fail = problems are simplified to below-grade content, or the hardest part of the standard is avoided.",,
R2,R — Rigor,At least one task demands student reasoning,"A student who only memorizes or follows steps cannot complete at least one task. Pass = one or more tasks require explanation, justification, comparison, or argumentation. Fail = every task is recall or procedural with a single right answer.",,
R3,R — Rigor,Exit ticket applies today's 지식·이해 through 과정·기능,The exit ticket is a single item that cannot be answered without applying today's 지식·이해 by means of the lesson's 과정·기능. FIRST state what the standard's hardest demand is and what the exit ticket asks; pass only if they match. Band expectations: 초3–4 drawing or speech; 초5–6 explain a small NEW phenomenon with what was learned; 중·고 return to the opening initial explanation and self-assess which evidence changed their thinking.,"science.md §정리 문항 지침. Upstream's examples (start-unknown, counterclaim) were math/ELA-specific.",
R4,R — Rigor,Student agency prompt on worksheet,"The student-facing worksheet itself includes at least one prompt inviting student reasoning or choice: a self-assessment question, a reflection prompt, an open-ended extension, or a 'show/explain your thinking' prompt attached to a task (these count even when embedded in task items). Teacher-led discussion prompts in the lesson plan do NOT count. Judge the student materials only.",,
O2,O — Output / Formatting,Student materials contain no teacher-only content,"Student-facing materials contain no teacher-only content: no look-fors, no misconception or points-of-difficulty notes, no assessment rationale, no answer keys, no instructions directed at the teacher ('the teacher places…', 'circulate and…'), no stage directions written TO the teacher ('Show…', 'Display…', 'Read aloud…', 'Distribute…'), and no third-person narration of student activity ('Students work in pairs…', 'Students blend the sounds…'). Scaffolding addressed TO STUDENTS in second person (hints, 'Remember:' reminders, sentence frames, worked examples) is student content and is fine — do NOT fail for it. Judge the student materials only; content in the lesson plan or observation sheet is irrelevant here.",,
O3,O — Output / Formatting,Observation template rows are usable in the field,"Row labels are specific student behaviors traceable to SWBAT ('student will be able to') — not generic phase names — and each row has adequate writing space. Pass = behavior-specific labels and sufficient writing space throughout. Fail = rows labeled 'Phase 1 / Phase 2', or table is so compressed a teacher couldn't write in it.",,
O3b,O — Output / Formatting,Observation template exit-ticket section is present and specific,"The observation template includes the three exit-ticket sort buckets using science.md's labels — 이해함 / 거의 / 재지도 필요 — each with explicit criteria distinguishing it, and the criteria appear in the teacher-facing document in one line so they can feed 과정중심평가 records. Fail = section absent, buckets unlabeled, or buckets present without distinguishing criteria.",Bucket names fixed to the ones science.md prescribes so the judge matches on the rendered strings.,
O4,O — Output / Formatting,Lesson plan is concise and scannable,Teacher-facing plan uses clear headers and the instructional sequence is findable at a glance — a teacher can locate the next action within 10 seconds of scanning the page. Pass = action sequence is visually distinct from rationale. Fail = instructional steps are embedded in paragraphs of rationale so that the sequence isn't findable without reading closely.,,
O5,O — Output / Formatting,Universal Design access features,"At least two Universal Design representation features are present in the base materials, such as: sentence stems or frames, clarification of symbols and vocabulary, multiple forms of representation (visual + symbolic + verbal), a culturally open task context, or choice in how students show their work. Name the features found in the explanation.",,
O6,O — Output / Formatting,Teacher and student materials describe the same tasks,"The student materials' tasks ARE the same tasks the lesson plan describes — same contexts, same numbers and specifics, same count — and the observation sheet's look-fors are the ones the lesson plan names. Direction 1: every activity named in the plan has a corresponding student-facing version. Direction 2: nothing in the student materials is unaccounted for in the plan. List every mismatch found; pass only if BOTH directions are clean.",,
O7,O — Output / Formatting,Teacher adaptation rationale notes,"The lesson plan includes one or two brief rationale notes identifying which elements must be PRESERVED to maintain alignment and rigor (non-negotiables such as curriculum sequence, grade-level demand, discourse structure) and why. Generic praise ('this lesson is well-structured') does not count.",,
O8,O — Output / Formatting,Outputs are specific not generic,"Misconceptions, look-fors, and prerequisite references are specific to this standard's content — a reader could not transplant them unchanged to an unrelated topic. The standard text quoted in body text matches the header word-for-word wherever it appears. Fail = boilerplate misconceptions ('students may get confused'), generic look-fors, or a standard subtly reworded between header and body.",,
O9,O — Output / Formatting,Narrative coherence across artifacts,"Contexts, names, numbers, grade level, and timing references agree across all artifacts. No artifact narrates a context, example, or task that the others do not have. Judge all artifacts together.",,
O10,O — Output / Formatting,No contradictions across artifacts,"No conflicting counts, durations, units, instructions, or directions between any two artifacts. Quote any contradiction found in the explanation.",,
O11,O — Output / Formatting,Lesson plan is internally consistent,"The plan never contradicts itself about which task or case is hardest; discussion and closing phases anchor on the case the rationale identifies as most important; and any task types the prose promises (e.g., 'students will work start-unknown problems') actually exist in the materials. Fail = the plan promises content that never appears, or different sections disagree about emphasis.",,
O12,O — Output / Formatting,Closing phase introduces nothing new,"Every concept, case, or notation appearing in the synthesis/closing phase was investigated by students in an earlier phase. Nothing appears for the first time in the closing. Fail = the summary introduces a case, term, or representation students never worked with.",,
M3,M — Model Scaffolding,Follow-up options offered,"After delivering the lesson plan, the model offers at least two meaningful, lesson-specific follow-up options (e.g. 수준별 차별화, 블록 차시 확장, 과정중심평가 기록지, 다른 앵커 현상으로 교체). Pass = two or more specific options. Fail = none, or generic options ('필요하면 말씀해 주세요').",Upstream's 'state-specific adaptation' example removed — no jurisdictional variation exists in Korea.,
M5,M — Model Scaffolding,No textbook-publisher content or naming,"Unless the teacher confirmed a publisher, no publisher name, textbook title, or unit number appears anywhere in the output. Even when a publisher IS named by the teacher, that textbook's activities, readings, illustrations, and items are never reproduced — the publisher may only be used as a rough sense of unit position. Fail = any publisher-specific content reproduced, or a publisher name the teacher never confirmed.","Korean counterpart of upstream's IM/OpenSciEd guardrail. Korea runs one national curriculum with 검정 textbooks, so the risk is copyright and publisher neutrality rather than proprietary program vocabulary. DESIGN.md §5 불변 원칙 4.",
O13,O — Output / Formatting,Information density,"Artifacts favor structure over prose: paragraphs stay within roughly 3 sentences; parallel content (per-group supports, per-phase variants, look-fors) appears in tables or bullet lists rather than stacked multi-sentence paragraphs; bullets are one-idea fragments rather than chained clauses. Fail = any wall-of-text paragraph or parallel variants written as back-to-back prose paragraphs.",,
O14,O — Output / Formatting,Writing space matches demand,"Every student-facing prompt that demands written work (problems, exit ticket, reflection) is followed by visible blank writing space proportionate to the expected response and grade level — younger students get more room, multi-sentence answers get generous space, fill-in items get a line or two. Fail = any prompt with no adjacent writing space or space plainly too small for the expected response.",,
P10,P — Pedagogy,Standards economy,"The target standard's full text appears exactly once (header or standards callout). Prerequisite and forward standards are referenced by code plus a short gist, never pasted in full. Fail = the full target standard repeated elsewhere, or prerequisite/forward standard text quoted verbatim.",,
O15,O — Output / Formatting,Document set fits the lesson,"The package contains a lesson plan and student materials. Student materials may be absent only when the lesson is genuinely oral or teacher-led end to end AND the lesson plan says so plainly (this is rare — when in doubt, student materials should exist). Documents beyond the standard set (lesson plan, student materials, observation template) — a source packet, a data sheet — are used by a lesson phase. Fail = no student materials without an explicit oral-lesson rationale in the plan, or an extra document no phase uses. The observation template never fails this criterion.",,
